ID,Crop_Type,Growth_Stage,Soil_Moisture_pct,Temperature_C,Humidity_pct,Rainfall_7day_mm,Soil_pH,Solar_Radiation_MJm2,Water_Requirement_mm,Irrigate
319,Soybean,Seedling,12.56,27.45,40.92,45.91,7.97,17.9,23.31,No
320,Maize,Flowering,22.88,20.05,48.19,70.67,5.6,22.38,37.66,Yes
321,Cotton,Flowering,39.93,38.84,61.14,7.02,6.65,18.38,84.57,Yes
322,Cotton,Seedling,69.36,36.11,53.34,43.56,6.95,28.25,7.18,No
323,Soybean,Maturation,26.23,15.7,68.81,2.34,7.93,15.62,32.8,Yes
324,Soybean,Vegetative,68.44,17.7,72.7,21.32,7.95,28.35,13.06,No
325,Wheat,Vegetative,44.54,41.53,55.25,74.82,8.47,13.47,15.93,No
326,Soybean,Seedling,52.21,24.5,66.9,11.37,8.35,26.73,16.61,No
327,Potato,Flowering,20.53,16.03,33.65,48.13,5.56,19.56,45.97,Yes
328,Maize,Flowering,53.02,39.81,84.88,25.89,5.57,21.73,61.07,Yes
329,Maize,Seedling,60.79,38.24,92.44,29.89,8.33,17.91,13.51,No
330,Maize,Vegetative,53.94,26.8,71.55,38.98,6.45,24.14,27.15,Yes
331,Soybean,Vegetative,49.93,36.99,54.59,58.72,6.38,13.55,27.74,Yes
332,Tomato,Seedling,20.92,23.59,82.57,48.91,7.42,12.08,10.72,No
333,Potato,Vegetative,29.87,17.1,52.54,25.56,7.41,29.26,39.02,Yes
334,Soybean,Maturation,10.68,20.66,75.06,28.04,7.86,24.41,23.95,No
335,Wheat,Maturation,36.29,26.33,40.81,33.12,8.15,17.02,16.87,No
336,Cotton,Vegetative,37.08,36.58,32.17,1.61,6.28,12.09,78.78,Yes
337,Soybean,Vegetative,63.28,19.34,34.88,75.35,8.43,16.76,4.57,No
338,Wheat,Maturation,66.55,19.45,87.83,12.57,5.8,14.11,5.89,No
339,Cotton,Maturation,51.83,34.5,77.45,21.22,6.34,14.75,41.36,Yes
340,Potato,Vegetative,13.27,15.1,35.7,65.91,7.38,19.61,25.66,Yes
341,Rice,Seedling,22.42,32.23,93.51,37.89,5.85,25.7,32.58,Yes
342,Sugarcane,Seedling,48.51,25.46,54.12,30.52,6.06,10.89,30.74,Yes
343,Potato,Maturation,25.8,37.6,66.68,12.09,7.59,11.93,46.03,Yes
344,Tomato,Vegetative,43.22,37.7,83.2,33.49,7.11,27.34,39.9,Yes
345,Potato,Vegetative,38.58,17.13,88.68,57.14,7.01,28.01,13.81,No
346,Maize,Seedling,66.96,27.12,91.69,13.37,6.14,13.85,4.18,No
347,Wheat,Maturation,14.7,33.44,43.12,65.81,5.94,21.9,16.45,No
348,Rice,Seedling,33.29,25.73,51.2,22.1,6.87,27.47,47.92,Yes
349,Tomato,Seedling,34.87,19.0,68.22,60.67,8.32,28.5,0,No
350,Sugarcane,Flowering,62.67,22.13,72.56,45.76,6.92,13.44,69.84,Yes
351,Tomato,Vegetative,47.09,33.38,56.11,31.66,8.14,23.81,47.87,Yes
352,Sugarcane,Flowering,11.21,37.07,49.7,22.43,6.97,23.92,119.04,Yes
353,Rice,Vegetative,18.06,41.3,58.8,66.07,6.31,18.34,73.78,Yes
354,Cotton,Maturation,54.46,35.51,86.37,65.68,7.05,13.18,12.29,No
355,Sugarcane,Maturation,18.14,37.98,87.16,2.32,6.08,26.66,79.08,Yes
356,Potato,Seedling,65.08,34.03,47.81,65.88,7.02,22.71,0,No
357,Rice,Seedling,24.52,28.2,59.0,76.84,6.92,21.03,17.29,No
358,Sugarcane,Seedling,27.1,25.44,40.59,45.78,8.39,27.14,37.28,Yes
359,Cotton,Vegetative,26.15,26.06,31.3,62.42,7.8,10.18,44.16,Yes
360,Wheat,Vegetative,25.14,36.74,49.85,77.36,7.43,18.48,16.89,No
361,Tomato,Flowering,37.54,20.89,49.64,41.65,7.37,21.69,64.01,Yes
362,Soybean,Flowering,27.91,17.92,34.15,79.07,7.42,27.23,25.05,Yes
363,Sugarcane,Flowering,21.3,28.97,45.62,4.54,8.07,26.2,114.87,Yes
364,Maize,Seedling,49.32,41.93,46.86,33.49,6.66,10.71,25.53,Yes
365,Cotton,Flowering,53.59,21.0,64.75,62.79,8.22,23.44,33.97,Yes
366,Maize,Flowering,15.86,18.45,46.81,64.67,7.79,13.66,41.29,Yes
367,Soybean,Seedling,23.34,21.03,86.64,33.64,8.16,17.43,5.8,No
368,Rice,Maturation,13.22,32.13,67.72,49.65,6.92,13.89,56.72,Yes
369,Rice,Maturation,41.79,26.15,86.61,12.06,8.48,16.85,64.5,Yes
370,Potato,Vegetative,28.98,34.32,80.63,39.01,7.39,13.54,39.75,Yes
371,Wheat,Seedling,37.12,20.65,80.28,46.1,5.98,25.7,0,No
372,Tomato,Maturation,34.2,41.06,54.92,3.02,6.1,17.46,56.87,Yes
373,Wheat,Flowering,55.41,29.34,31.16,0.33,7.7,14.53,57.83,Yes
374,Rice,Maturation,40.2,23.27,34.24,3.66,8.35,19.12,66.76,Yes
375,Soybean,Maturation,63.28,41.88,52.28,72.11,6.58,13.77,11.65,No
376,Tomato,Seedling,23.71,34.63,38.53,58.73,7.27,13.38,17.92,No
377,Soybean,Seedling,32.51,32.29,80.13,49.85,7.28,10.96,11.32,No
378,Wheat,Seedling,35.01,25.27,65.57,37.95,5.96,23.9,8.99,No
379,Wheat,Flowering,35.25,17.73,63.82,49.82,7.6,18.38,27.99,Yes
380,Rice,Flowering,16.84,17.87,42.91,15.98,6.29,20.46,109.0,Yes
381,Cotton,Flowering,52.21,22.97,32.56,39.71,6.12,28.66,58.15,Yes
382,Rice,Seedling,60.11,33.06,39.69,7.21,7.04,24.47,48.04,Yes
383,Rice,Flowering,48.66,27.33,93.52,21.13,5.65,26.26,99.93,Yes
384,Soybean,Flowering,35.56,18.13,85.33,71.22,5.53,12.77,13.7,No
385,Maize,Flowering,31.45,26.82,70.42,70.28,5.78,26.3,36.92,Yes
386,Potato,Flowering,60.14,33.63,61.09,33.74,8.16,13.34,52.08,Yes
387,Maize,Seedling,68.89,37.8,36.74,72.9,6.95,21.38,0,No
388,Soybean,Seedling,61.75,38.76,77.27,71.34,6.95,19.76,0,No
389,Tomato,Maturation,12.76,22.06,50.43,56.37,7.53,25.35,22.36,No
390,Soybean,Seedling,35.97,34.62,61.33,53.1,7.42,12.97,6.77,No
391,Wheat,Seedling,48.6,19.24,85.17,68.15,8.11,11.5,0,No
392,Sugarcane,Seedling,40.42,29.86,54.61,65.37,5.74,18.88,18.96,No
393,Potato,Seedling,61.4,27.07,37.72,39.79,7.46,12.05,2.28,No
394,Wheat,Seedling,57.51,41.01,71.44,71.21,7.19,23.09,0,No
395,Potato,Flowering,31.8,16.47,44.49,36.36,7.18,22.4,43.78,Yes
396,Potato,Seedling,15.85,32.79,30.14,28.41,7.4,26.0,35.9,Yes
397,Soybean,Seedling,12.75,19.43,39.13,57.35,7.66,12.14,5.42,No
398,Tomato,Vegetative,37.42,36.1,76.59,8.62,6.74,28.53,57.87,Yes
399,Rice,Maturation,37.44,30.91,62.77,77.11,5.51,24.72,31.76,Yes
400,Potato,Vegetative,51.51,19.69,82.99,8.28,7.47,22.12,33.51,Yes
401,Soybean,Maturation,35.12,31.44,75.01,19.86,6.69,16.86,29.44,Yes
402,Maize,Maturation,46.15,38.93,63.3,67.45,7.14,16.28,19.68,No
403,Cotton,Vegetative,22.58,34.29,74.63,73.7,5.9,24.21,38.21,Yes
404,Soybean,Seedling,55.65,30.18,67.88,75.41,7.63,23.48,0,No
405,Sugarcane,Maturation,58.5,29.11,31.64,11.63,7.51,14.0,58.33,Yes
406,Sugarcane,Flowering,18.79,16.67,80.98,16.32,7.12,17.17,95.24,Yes
407,Potato,Seedling,46.97,33.24,66.52,17.94,7.44,17.78,17.51,No
408,Sugarcane,Seedling,65.59,25.46,92.19,78.07,6.44,21.04,0,No
409,Wheat,Flowering,22.19,38.46,85.93,35.45,6.18,22.68,50.06,Yes
410,Cotton,Vegetative,27.65,19.79,74.37,14.96,6.02,20.28,49.36,Yes
411,Tomato,Seedling,35.71,30.03,38.45,46.72,6.27,16.61,17.18,No
412,Maize,Flowering,45.81,35.89,70.65,67.45,6.4,25.8,36.88,Yes
413,Soybean,Seedling,57.04,23.58,44.3,14.71,5.7,20.1,9.83,No
414,Rice,Flowering,23.27,20.76,51.57,28.86,6.16,25.05,105.01,Yes
415,Potato,Seedling,16.88,24.34,45.62,51.38,8.26,14.88,20.24,No
416,Tomato,Seedling,33.15,29.59,48.38,72.91,7.97,17.5,5.25,No
417,Potato,Maturation,12.63,39.25,42.51,41.11,8.34,13.35,48.0,Yes
418,Wheat,Seedling,22.65,32.0,43.86,54.83,8.01,14.11,9.53,No
419,Tomato,Seedling,54.81,19.15,59.85,26.54,5.76,11.09,9.2,No
420,Cotton,Flowering,34.46,27.18,56.29,25.31,6.67,12.37,68.67,Yes
421,Wheat,Seedling,55.36,30.81,75.56,5.81,8.28,12.12,16.85,No
422,Rice,Flowering,55.92,26.82,55.68,52.86,6.92,20.67,79.83,Yes
423,Maize,Maturation,57.81,37.94,49.17,50.72,6.39,27.74,25.38,Yes
424,Soybean,Seedling,43.21,29.99,38.01,0.4,7.29,20.74,30.51,Yes
425,Rice,Flowering,22.6,35.02,77.19,16.94,8.22,27.03,118.12,Yes
426,Sugarcane,Vegetative,16.88,33.12,66.87,4.35,7.75,29.8,95.03,Yes
427,Potato,Seedling,27.44,16.82,36.38,58.05,6.96,16.62,5.03,No
428,Rice,Flowering,47.17,39.3,50.66,36.05,7.35,16.11,108.11,Yes
429,Maize,Flowering,58.46,40.88,40.96,25.06,7.86,24.24,61.62,Yes
430,Soybean,Vegetative,50.77,23.95,61.2,35.63,7.82,19.74,20.99,No
431,Rice,Vegetative,48.73,17.21,48.24,66.12,8.17,13.93,44.55,Yes
432,Rice,Seedling,60.98,32.05,82.82,46.31,7.81,14.26,16.48,No
433,Wheat,Flowering,42.61,41.97,60.69,62.02,6.6,14.47,36.59,Yes
434,Sugarcane,Vegetative,37.88,28.78,55.79,40.17,7.49,26.96,60.59,Yes
435,Maize,Vegetative,36.77,19.84,91.67,52.75,8.4,24.72,14.23,No
436,Cotton,Maturation,23.9,22.14,45.21,53.49,7.05,25.83,27.92,Yes
437,Tomato,Maturation,65.07,38.8,32.59,51.88,5.81,29.37,21.58,No
438,Sugarcane,Vegetative,32.6,25.22,68.2,71.86,5.73,15.03,45.19,Yes
439,Cotton,Maturation,31.17,38.43,61.65,38.57,7.31,20.04,43.9,Yes
440,Rice,Flowering,22.69,20.05,53.54,57.38,5.85,14.61,89.63,Yes
441,Soybean,Seedling,38.89,27.93,43.7,12.9,8.0,10.45,28.56,Yes
442,Maize,Vegetative,47.77,16.06,67.2,4.47,6.27,13.6,38.47,Yes
443,Tomato,Seedling,62.71,34.66,83.38,75.78,6.15,22.13,0,No
444,Cotton,Maturation,46.05,36.45,83.33,14.55,7.48,15.29,44.58,Yes
445,Soybean,Maturation,45.79,16.86,54.58,10.58,5.55,20.45,26.53,Yes
446,Maize,Seedling,20.65,39.34,68.99,70.22,7.09,25.05,9.3,No
447,Rice,Maturation,49.56,39.35,65.05,0.1,8.31,23.57,72.0,Yes
448,Wheat,Maturation,23.77,36.66,81.32,30.5,7.27,24.83,30.68,Yes
449,Rice,Maturation,18.03,27.88,45.11,68.72,6.35,27.54,45.33,Yes
450,Wheat,Seedling,41.19,25.13,43.35,64.34,6.73,12.13,0,No
451,Tomato,Flowering,25.68,29.47,66.7,48.95,8.48,17.95,58.91,Yes
452,Potato,Vegetative,32.21,29.98,46.5,24.53,6.53,24.11,51.5,Yes
453,Maize,Seedling,54.87,27.06,75.46,12.94,6.14,18.01,13.91,No
454,Wheat,Vegetative,33.35,32.17,82.28,65.86,6.92,22.0,16.35,No
455,Rice,Seedling,25.79,25.01,69.59,57.96,8.29,18.01,23.9,No
456,Wheat,Vegetative,48.42,26.85,43.11,52.55,7.91,15.72,13.32,No
457,Wheat,Vegetative,46.91,33.2,53.38,52.4,8.43,11.74,19.1,No
458,Tomato,Maturation,45.16,28.98,77.9,5.49,5.77,15.69,42.68,Yes
459,Soybean,Flowering,67.8,22.47,69.41,15.56,8.29,21.5,38.45,Yes
460,Rice,Seedling,40.19,24.18,37.61,41.06,6.27,20.76,35.16,Yes
461,Sugarcane,Maturation,67.96,30.21,80.05,60.6,8.38,19.18,19.81,No
462,Wheat,Maturation,16.98,16.82,71.19,79.54,7.53,14.6,0,No
463,Soybean,Maturation,67.33,28.95,30.63,66.57,6.24,11.86,0,No
464,Rice,Vegetative,38.59,24.55,88.13,21.53,8.34,23.66,66.28,Yes
465,Cotton,Maturation,54.23,21.34,45.73,21.23,6.19,26.7,32.36,Yes
466,Rice,Seedling,65.21,33.25,73.12,49.11,7.79,20.83,17.58,No
467,Wheat,Maturation,32.27,23.52,88.38,70.48,7.22,15.49,0,No
468,Sugarcane,Maturation,23.33,30.57,33.52,63.94,6.93,20.82,51.78,Yes
469,Soybean,Maturation,61.62,35.95,59.72,9.63,7.05,16.31,35.83,Yes
470,Tomato,Seedling,29.53,31.55,46.88,43.89,6.21,19.43,21.69,No
471,Soybean,Flowering,21.03,26.45,57.24,60.18,6.6,18.01,36.35,Yes
472,Cotton,Seedling,53.25,36.71,66.1,68.5,6.09,26.0,5.09,No
473,Maize,Maturation,58.34,19.77,62.47,79.64,8.05,20.34,0,No
474,Sugarcane,Flowering,43.73,30.33,55.9,55.24,5.68,26.28,77.09,Yes
475,Potato,Seedling,36.99,24.04,53.46,44.83,8.3,15.15,9.52,No
476,Cotton,Vegetative,68.76,22.68,51.13,40.84,7.82,18.94,28.74,Yes
477,Rice,Maturation,46.82,27.52,92.18,69.46,7.42,28.57,24.09,No
478,Tomato,Seedling,14.75,24.28,50.38,52.24,7.63,22.11,18.8,No
479,Tomato,Flowering,63.26,36.09,91.02,59.83,7.06,19.01,41.92,Yes
480,Maize,Vegetative,49.72,40.39,75.55,6.41,6.0,12.06,59.0,Yes
481,Rice,Maturation,42.91,15.71,55.81,61.2,5.75,15.25,31.89,Yes
482,Tomato,Flowering,23.76,34.92,58.81,10.11,7.08,13.41,87.18,Yes
483,Wheat,Flowering,61.62,23.78,60.95,78.0,7.12,15.45,0,No
484,Maize,Maturation,47.86,32.17,66.66,41.88,7.42,16.19,23.35,No
485,Soybean,Maturation,42.38,36.73,58.72,29.26,6.28,16.07,35.51,Yes
486,Maize,Flowering,27.21,29.45,74.71,39.35,7.77,15.99,54.3,Yes
487,Tomato,Flowering,45.82,36.51,65.63,15.09,8.15,18.74,72.49,Yes
488,Tomato,Maturation,23.24,17.14,70.65,41.33,7.9,22.26,26.91,Yes
489,Sugarcane,Flowering,48.91,29.36,47.47,15.04,5.71,12.73,103.33,Yes
490,Potato,Flowering,52.03,28.28,50.84,12.17,8.41,10.44,62.71,Yes
491,Rice,Flowering,26.15,34.31,77.26,18.62,5.95,19.87,112.67,Yes
492,Potato,Flowering,37.82,36.37,51.47,67.48,8.35,11.12,47.18,Yes
493,Tomato,Seedling,42.59,19.9,88.22,20.01,6.64,10.25,17.34,No
494,Tomato,Maturation,24.83,41.85,42.95,58.83,5.78,23.32,35.94,Yes
495,Cotton,Maturation,33.35,40.95,90.85,12.69,7.68,24.89,50.99,Yes
496,Potato,Flowering,21.92,38.96,86.14,17.42,5.84,22.66,72.8,Yes
497,Soybean,Seedling,20.04,22.45,37.78,63.13,5.53,10.84,4.42,No
498,Maize,Flowering,56.25,21.72,62.49,54.88,6.52,29.39,27.23,Yes
499,Wheat,Seedling,31.33,19.16,64.86,8.59,6.96,16.33,12.74,No
500,Soybean,Maturation,53.99,15.58,54.55,57.95,6.25,10.79,0,No
501,Potato,Flowering,42.56,28.23,66.84,43.49,6.47,19.37,49.02,Yes
502,Maize,Seedling,41.87,27.13,83.26,43.33,6.86,25.52,1.81,No
503,Tomato,Vegetative,62.98,31.73,53.66,49.62,6.46,11.27,33.76,Yes
504,Cotton,Maturation,55.94,19.16,48.4,32.78,6.47,11.93,21.17,No
505,Rice,Seedling,60.11,18.5,86.78,16.17,6.96,11.98,19.51,No
506,Potato,Flowering,12.95,20.96,76.66,1.05,8.26,23.11,69.6,Yes
507,Rice,Maturation,58.06,16.64,66.27,75.06,6.75,17.38,14.17,No
508,Sugarcane,Seedling,54.06,37.53,35.07,17.27,7.06,12.02,41.11,Yes
509,Cotton,Maturation,21.37,29.21,46.17,50.03,6.04,24.98,34.66,Yes
510,Soybean,Maturation,52.15,26.53,36.77,63.4,7.15,20.09,4.87,No
511,Maize,Maturation,66.01,39.37,65.76,79.75,8.03,18.25,0,No
512,Soybean,Vegetative,43.79,20.78,79.77,74.09,6.26,29.23,0,No
513,Potato,Maturation,10.01,15.94,48.49,1.3,5.91,27.81,54.47,Yes
514,Cotton,Flowering,11.3,37.19,74.83,22.08,7.16,21.13,88.82,Yes
515,Maize,Seedling,12.26,24.6,39.0,29.37,7.25,14.66,28.73,Yes
516,Tomato,Vegetative,54.06,34.54,81.54,13.83,7.98,23.79,46.64,Yes
517,Rice,Flowering,12.24,36.83,54.8,62.41,8.27,16.69,105.47,Yes
518,Rice,Vegetative,54.86,37.94,90.36,50.71,7.4,11.08,58.3,Yes
519,Wheat,Flowering,42.4,19.04,62.66,17.66,5.65,24.63,37.0,Yes
520,Rice,Vegetative,35.92,36.23,39.62,26.89,6.93,24.91,88.26,Yes
521,Tomato,Flowering,15.1,28.55,80.3,10.43,5.9,21.19,74.19,Yes
522,Cotton,Vegetative,24.54,22.19,57.95,54.78,7.23,12.25,38.19,Yes
523,Tomato,Maturation,31.92,20.14,52.39,52.43,7.81,13.39,15.0,No
524,Potato,Vegetative,36.43,39.95,45.18,54.83,5.97,24.57,43.71,Yes
525,Rice,Seedling,54.37,21.56,70.37,11.81,8.0,15.75,31.04,Yes
526,Sugarcane,Maturation,38.27,23.96,78.1,16.95,7.14,25.01,57.18,Yes
527,Potato,Vegetative,51.7,33.04,54.48,72.48,7.08,15.11,19.21,No
528,Sugarcane,Seedling,37.9,40.52,34.33,52.83,7.49,28.26,38.43,Yes
529,Soybean,Seedling,11.14,38.42,72.21,18.49,6.64,29.53,39.32,Yes
530,Rice,Vegetative,21.93,41.1,66.44,57.0,5.62,28.45,78.17,Yes
531,Sugarcane,Flowering,39.4,35.1,31.19,54.74,6.57,16.05,100.09,Yes
532,Sugarcane,Seedling,47.55,38.72,87.88,65.19,5.59,21.1,17.97,No
533,Sugarcane,Vegetative,19.1,39.22,72.7,7.02,6.65,29.21,92.12,Yes
534,Cotton,Maturation,24.42,19.12,93.08,72.78,6.49,20.84,5.45,No
535,Cotton,Vegetative,44.86,33.47,43.15,11.05,7.57,27.97,65.52,Yes
536,Maize,Vegetative,29.05,30.05,91.66,9.47,6.45,27.59,48.22,Yes
537,Wheat,Flowering,62.81,26.18,56.73,35.44,8.3,27.88,31.28,Yes
538,Cotton,Seedling,17.89,15.71,94.09,49.36,7.32,22.25,5.64,No
539,Cotton,Vegetative,51.24,24.7,74.73,38.13,7.01,22.09,34.3,Yes
540,Tomato,Maturation,38.43,19.42,44.71,32.69,8.41,28.51,23.29,No
541,Tomato,Vegetative,54.54,41.68,79.26,5.29,8.28,29.71,60.33,Yes
542,Soybean,Maturation,63.26,26.54,80.45,48.63,7.97,24.4,0,No
543,Tomato,Seedling,41.24,27.19,83.76,3.39,8.49,20.37,24.12,No
544,Tomato,Seedling,21.39,26.87,87.49,61.89,6.36,13.33,8.85,No
545,Sugarcane,Seedling,51.4,39.4,60.13,51.69,5.77,20.01,29.8,Yes
546,Maize,Maturation,34.81,27.17,41.63,47.23,7.64,14.04,26.55,Yes
547,Potato,Seedling,25.0,33.68,88.97,63.72,7.66,12.47,8.21,No
548,Soybean,Seedling,41.43,25.37,81.42,40.93,8.35,17.57,4.2,No
549,Tomato,Seedling,56.1,39.63,66.76,52.76,5.95,27.38,11.92,No
550,Tomato,Flowering,28.57,35.75,59.01,50.12,5.85,12.63,66.53,Yes
551,Cotton,Seedling,47.35,21.83,59.81,68.43,7.13,10.12,0,No
552,Potato,Maturation,34.61,17.14,69.01,19.58,7.14,22.4,23.24,No
553,Cotton,Seedling,21.09,16.49,52.69,11.63,5.6,21.56,28.89,Yes
554,Rice,Seedling,16.53,41.83,40.49,22.75,7.48,24.0,62.78,Yes
555,Maize,Maturation,54.96,24.73,32.33,61.48,6.47,27.95,9.37,No
556,Rice,Flowering,38.25,18.29,85.86,26.34,6.74,14.2,86.71,Yes
557,Cotton,Seedling,16.56,34.7,70.88,78.98,6.95,23.77,19.05,No
558,Sugarcane,Maturation,46.53,23.55,64.15,79.6,6.56,12.59,16.26,No
559,Potato,Maturation,39.55,19.86,69.61,56.69,8.44,10.03,10.44,No
560,Rice,Vegetative,57.97,41.97,56.91,26.7,7.18,22.75,80.13,Yes
561,Wheat,Vegetative,51.4,21.87,34.41,24.02,7.15,25.34,27.8,Yes
562,Tomato,Seedling,59.92,20.24,84.2,73.78,6.94,19.49,0,No
563,Wheat,Vegetative,38.89,31.93,87.98,42.96,6.51,25.68,17.07,No
564,Sugarcane,Flowering,43.31,15.51,67.53,26.54,8.25,25.92,85.73,Yes
565,Rice,Vegetative,26.83,15.84,93.94,50.12,8.03,21.42,50.69,Yes
566,Sugarcane,Flowering,52.59,22.33,35.64,70.16,6.61,26.59,70.48,Yes
567,Sugarcane,Vegetative,41.51,19.73,54.32,2.99,6.11,11.85,70.17,Yes
568,Maize,Vegetative,30.41,28.05,86.8,24.83,6.48,25.39,40.64,Yes
569,Rice,Vegetative,22.31,15.99,55.19,69.18,5.85,16.22,57.6,Yes
570,Rice,Flowering,38.01,16.25,63.84,52.72,6.44,21.55,81.45,Yes
571,Sugarcane,Vegetative,29.25,20.2,47.98,25.53,6.82,12.35,71.92,Yes
572,Wheat,Seedling,22.39,24.46,50.7,11.32,7.61,15.67,27.28,Yes
573,Cotton,Vegetative,14.27,31.56,52.02,35.49,5.89,19.41,59.35,Yes
574,Wheat,Seedling,35.59,19.83,68.75,47.42,8.01,23.99,0,No
575,Soybean,Flowering,29.94,20.35,79.3,64.74,5.74,28.46,26.39,Yes
576,Rice,Maturation,15.84,23.38,71.89,61.32,6.91,28.95,40.05,Yes
577,Maize,Flowering,64.77,25.59,75.47,53.21,7.87,27.65,28.43,Yes
578,Potato,Seedling,31.09,27.45,41.1,61.44,7.31,12.55,6.85,No
579,Rice,Maturation,59.05,36.51,51.18,51.96,7.88,20.65,42.41,Yes
580,Cotton,Vegetative,68.43,25.36,52.15,65.11,7.27,25.69,20.35,No
581,Tomato,Flowering,42.67,21.38,73.07,6.23,8.29,21.48,60.96,Yes
582,Potato,Flowering,43.31,37.19,41.45,76.47,5.71,12.17,40.81,Yes
583,Tomato,Flowering,39.66,32.82,35.88,65.36,8.16,28.07,51.29,Yes
584,Maize,Vegetative,37.18,22.87,70.01,35.77,6.12,27.55,30.99,Yes
585,Sugarcane,Flowering,65.11,40.29,76.66,73.21,8.47,21.65,66.84,Yes
586,Maize,Flowering,13.74,39.33,92.91,0.07,7.18,29.57,82.19,Yes
587,Rice,Flowering,61.94,21.35,75.64,31.54,6.45,17.66,80.42,Yes
588,Maize,Maturation,18.34,30.0,84.82,28.82,6.75,15.77,37.08,Yes
589,Maize,Vegetative,10.7,32.51,39.36,70.79,7.47,29.5,37.5,Yes
590,Tomato,Maturation,63.61,33.78,90.47,49.86,6.86,18.48,13.31,No
591,Potato,Maturation,31.32,20.02,69.3,46.24,8.04,14.73,11.89,No
592,Soybean,Seedling,68.69,30.34,75.82,9.05,6.94,23.81,11.86,No
593,Maize,Flowering,37.9,17.11,87.84,7.08,6.92,24.83,55.48,Yes
594,Sugarcane,Seedling,64.22,29.45,30.7,36.32,8.22,21.48,26.81,Yes
595,Soybean,Maturation,31.17,41.4,49.15,13.4,7.59,21.95,45.83,Yes
596,Sugarcane,Seedling,47.76,30.61,67.24,52.51,6.38,24.75,26.0,Yes
597,Wheat,Flowering,39.09,18.42,35.0,62.7,6.26,22.32,21.64,No
598,Rice,Vegetative,64.61,34.95,72.85,29.58,6.03,25.65,69.68,Yes
599,Cotton,Maturation,20.85,29.24,32.15,78.73,8.4,21.91,26.36,Yes
600,Tomato,Maturation,24.28,26.88,71.44,16.87,7.7,16.9,36.49,Yes
601,Sugarcane,Seedling,13.15,27.53,60.96,38.1,8.34,28.45,41.04,Yes
602,Tomato,Maturation,25.76,29.32,58.26,23.1,7.89,17.64,46.39,Yes
603,Soybean,Seedling,15.84,29.34,53.0,67.54,7.33,23.04,6.08,No
604,Rice,Flowering,49.26,25.56,80.25,59.93,7.7,21.77,79.1,Yes
605,Cotton,Flowering,50.66,41.82,50.36,0.85,5.53,11.36,87.61,Yes
606,Potato,Flowering,23.16,22.65,42.55,1.9,5.78,28.77,75.96,Yes
607,Cotton,Seedling,52.48,18.24,85.67,10.39,7.47,28.0,8.38,No
608,Rice,Vegetative,25.2,27.61,90.85,51.1,8.27,15.53,60.67,Yes
609,Tomato,Flowering,25.44,36.08,48.02,4.99,6.67,29.92,87.71,Yes
610,Maize,Maturation,14.16,41.44,43.04,31.41,7.44,12.17,55.81,Yes
611,Tomato,Vegetative,46.84,17.87,58.7,20.72,5.6,11.41,36.66,Yes
612,Wheat,Maturation,18.93,32.29,90.64,53.17,6.3,24.0,9.93,No
613,Tomato,Seedling,40.92,40.38,61.89,34.88,8.03,25.62,27.04,Yes
614,Wheat,Maturation,67.25,37.09,61.33,45.38,8.31,17.18,4.24,No
615,Sugarcane,Maturation,13.31,41.92,72.06,29.23,8.06,16.8,74.54,Yes
616,Sugarcane,Vegetative,20.6,16.06,54.97,15.28,7.59,27.93,70.46,Yes
617,Soybean,Maturation,15.09,32.09,77.8,11.2,6.08,24.39,40.46,Yes
618,Rice,Flowering,39.98,41.05,82.77,77.33,5.55,16.79,81.85,Yes
619,Soybean,Seedling,34.33,20.72,72.5,41.85,8.32,27.4,0,No
620,Cotton,Seedling,12.21,18.82,72.5,37.7,8.25,10.92,19.32,No
621,Maize,Seedling,20.33,16.35,49.98,63.5,6.87,13.41,0,No
622,Rice,Seedling,39.83,36.58,44.34,64.36,6.78,26.23,26.5,Yes
623,Tomato,Flowering,17.25,33.47,65.48,25.73,8.39,14.26,77.97,Yes
624,Rice,Seedling,26.43,35.45,40.92,29.59,6.0,14.87,52.38,Yes
625,Wheat,Vegetative,16.0,37.88,69.81,62.21,5.55,19.74,30.21,Yes
626,Rice,Flowering,34.97,36.8,80.22,55.39,6.12,22.8,93.8,Yes
627,Potato,Maturation,24.36,19.71,74.96,47.7,7.65,22.24,20.71,No
628,Sugarcane,Flowering,35.13,30.06,42.47,78.93,8.43,22.38,78.61,Yes
629,Cotton,Maturation,56.22,32.8,47.97,15.5,7.89,23.7,45.14,Yes
630,Maize,Vegetative,50.21,16.16,71.92,22.81,6.8,16.69,25.98,Yes
631,Potato,Seedling,16.27,16.42,64.93,12.64,5.59,20.3,26.55,Yes
632,Potato,Flowering,35.14,35.17,88.39,18.41,5.83,14.56,65.06,Yes
633,Cotton,Maturation,62.19,25.14,44.34,37.68,6.95,27.81,26.96,Yes
634,Potato,Vegetative,33.24,18.68,76.79,50.56,8.43,14.04,26.28,Yes
635,Maize,Seedling,51.53,16.61,38.87,68.13,6.88,13.42,0,No
636,Maize,Vegetative,44.69,29.92,44.93,32.94,7.07,27.24,44.06,Yes
637,Cotton,Maturation,60.22,22.54,77.45,58.89,6.24,16.55,0.33,No
638,Maize,Seedling,35.07,16.19,94.43,58.68,7.01,18.51,0,No
639,Tomato,Maturation,58.58,33.81,36.37,39.62,5.75,25.06,26.28,Yes
640,Cotton,Vegetative,31.5,21.45,94.93,1.27,7.51,13.24,52.81,Yes
